strike,expiry,lastPrice,optionType
21050.00,8/29/2024,3.50,put
21100.00,8/29/2024,4.00,put
21150.00,8/29/2024,3.35,put
21200.00,8/29/2024,3.65,put
21250.00,8/29/2024,4.60,put
21300.00,8/29/2024,4.70,put
21350.00,8/29/2024,4.25,put
21400.00,8/29/2024,5.75,put
21450.00,8/29/2024,4.00,put
21500.00,8/29/2024,3.85,put
21550.00,8/29/2024,5.65,put
21600.00,8/29/2024,4.75,put
21650.00,8/29/2024,4.70,put
21700.00,8/29/2024,4.30,put
21750.00,8/29/2024,4.30,put
21800.00,8/29/2024,5.65,put
21850.00,8/29/2024,4.35,put
21900.00,8/29/2024,5.05,put
21950.00,8/29/2024,6.60,put
22000.00,8/29/2024,5.25,put
22050.00,8/29/2024,6.50,put
22100.00,8/29/2024,6.00,put
22150.00,8/29/2024,5.95,put
22200.00,8/29/2024,6.00,put
22250.00,8/29/2024,7.60,put
22300.00,8/29/2024,7.30,put
22350.00,8/29/2024,6.10,put
22400.00,8/29/2024,7.60,put
22450.00,8/29/2024,7.70,put
22500.00,8/29/2024,7.20,put
22550.00,8/29/2024,7.15,put
22600.00,8/29/2024,8.95,put
22650.00,8/29/2024,12.05,put
22700.00,8/29/2024,11.90,put
22750.00,8/29/2024,15.65,put
22800.00,8/29/2024,11.50,put
22850.00,8/29/2024,12.70,put
22900.00,8/29/2024,12.20,put
22950.00,8/29/2024,12.40,put
23000.00,8/29/2024,13.50,put
23050.00,8/29/2024,13.55,put
23100.00,8/29/2024,12.65,put
23150.00,8/29/2024,15.15,put
23200.00,8/29/2024,17.30,put
23250.00,8/29/2024,20.50,put
23300.00,8/29/2024,18.55,put
23350.00,8/29/2024,20.40,put
23400.00,8/29/2024,22.05,put
23450.00,8/29/2024,24.25,put
23500.00,8/29/2024,25.30,put
23550.00,8/29/2024,26.65,put
23600.00,8/29/2024,28.10,put
23650.00,8/29/2024,31.00,put
23700.00,8/29/2024,33.00,put
23750.00,8/29/2024,35.95,put
23800.00,8/29/2024,39.45,put
23850.00,8/29/2024,41.00,put
23900.00,8/29/2024,47.95,put
23950.00,8/29/2024,51.10,put
24000.00,8/29/2024,57.25,put
24050.00,8/29/2024,65.40,put
24100.00,8/29/2024,68.25,put
24150.00,8/29/2024,76.00,put
24200.00,8/29/2024,84.00,put
24250.00,8/29/2024,105.00,put
24300.00,8/29/2024,105.00,put
24350.00,8/29/2024,118.50,put
24400.00,8/29/2024,131.40,put
24450.00,8/29/2024,149.25,put
24500.00,8/29/2024,165.10,put
24550.00,8/29/2024,186.25,put
24600.00,8/29/2024,211.00,put
24650.00,8/29/2024,230.00,put
24700.00,8/29/2024,253.90,put
24750.00,8/29/2024,280.30,put
24800.00,8/29/2024,315.50,put
24850.00,8/29/2024,348.75,put
24900.00,8/29/2024,383.25,put
24950.00,8/29/2024,413.85,put
25000.00,8/29/2024,454.00,put
25050.00,8/29/2024,495.35,put
25100.00,8/29/2024,540.00,put
25150.00,8/29/2024,580.25,put
25200.00,8/29/2024,616.95,put
25250.00,8/29/2024,662.00,put
25300.00,8/29/2024,717.10,put
25350.00,8/29/2024,773.95,put
25400.00,8/29/2024,808.00,put
25450.00,8/29/2024,1311.10,put
25500.00,8/29/2024,904.25,put
25550.00,8/29/2024,1385.35,put
25600.00,8/29/2024,999.00,put
25650.00,8/29/2024,1660.00,put
25700.00,8/29/2024,1106.50,put
25750.00,8/29/2024,1558.40,put
25800.00,8/29/2024,1205.50,put
25850.00,8/29/2024,1245.65,put
25900.00,8/29/2024,1300.00,put
25950.00,8/29/2024,1632.80,put
26000.00,8/29/2024,1397.50,put
26050.00,8/29/2024,1580.95,put
26100.00,8/29/2024,2050.00,put
26150.00,8/29/2024,1990.50,put
26200.00,8/29/2024,2041.40,put
26250.00,8/29/2024,1240.00,put
26300.00,8/29/2024,2210.60,put
26350.00,8/29/2024,1877.10,put
26400.00,8/29/2024,2117.20,put
26450.00,8/29/2024,2101.80,put
26500.00,8/29/2024,1890.20,put
26550.00,8/29/2024,2499.95,put
26600.00,8/29/2024,2046.00,put
26650.00,8/29/2024,-,put
26700.00,8/29/2024,1654.65,put
26750.00,8/29/2024,-,put
